To_Location,From_Location,Product,Lead_Time_Days,Lead_Time_Std_Dev,,
DEH1,DEW1,NUNKO,8.5,3.34,,
DEF1,LUEX,NUNKO,8.4,5.14,,
DEF2,LUEX,NUNKO,5.8,2.38,,
FRA1,LUEX,NUNKO,15.5,10.6,,
FRM1,LUEX,NUNKO,9.7,5.86,,
GBE1,LUEX,NUNKO,10,1.41,,
GBM1,LUEX,NUNKO,10,1.41,,
LUGI,LUEX,NUNKO,0.8,1.47,,
LUL1,LUEX,NUNKO,0.8,1.47,,
BEEX,B616,RR10,137,32.4,,
PLPL,B616,RR10,3,1,,
RSKR,B616,RR10,157,28.48,,
SIS1,B616,RR10,157,26.15,,
TRTU,B616,RR10,160,26.33,,
TRTZ,B616,RR10,160,22.4,,
ZASA,B616,RR10,116,8,,
DEW1,BEEX,RR10,4.7,2.56,,
LUEX,BEEX,RR10,4.2,1.5,,
DEH1,DEW1,RR10,8.5,3.34,,
DEF1,LUEX,RR10,8.4,5.14,,
DEF2,LUEX,RR10,5.8,2.38,,
FRA1,LUEX,RR10,15.5,10.6,,
FRM1,LUEX,RR10,9.7,5.86,,
GBE1,LUEX,RR10,10,1.41,,
GBM1,LUEX,RR10,10,1.41,,
LUGI,LUEX,RR10,0.8,1.47,,
LUL1,LUEX,RR10,0.8,1.47,,
BEEX,B616,RR40,137,32.4,,
PLPL,B616,RR40,3,1,,
RSKR,B616,RR40,157,28.48,,
SIS1,B616,RR40,157,26.15,,
TRTU,B616,RR40,160,26.33,,
TRTZ,B616,RR40,160,22.4,,
ZASA,B616,RR40,116,8,,
DEW1,BEEX,RR40,4.7,2.56,,
LUEX,BEEX,RR40,4.2,1.5,,
DEH1,DEW1,RR40,8.5,3.34,,
DEF1,LUEX,RR40,8.4,5.14,,
DEF2,LUEX,RR40,5.8,2.38,,
FRA1,LUEX,RR40,15.5,10.6,,
FRM1,LUEX,RR40,9.7,5.86,,
GBE1,LUEX,RR40,10,1.41,,
GBM1,LUEX,RR40,10,1.41,,
LUGI,LUEX,RR40,0.8,1.47,,
LUL1,LUEX,RR40,0.8,1.47,,
BEEX,B616,RR60,137,32.4,,
PLPL,B616,RR60,3,1,,
RSKR,B616,RR60,157,28.48,,
SIS1,B616,RR60,157,26.15,,
TRTU,B616,RR60,160,26.33,,
TRTZ,B616,RR60,160,22.4,,
ZASA,B616,RR60,116,8,,
DEW1,BEEX,RR60,4.7,2.56,,
LUEX,BEEX,RR60,4.2,1.5,,
DEH1,DEW1,RR60,8.5,3.34,,
DEF1,LUEX,RR60,8.4,5.14,,
DEF2,LUEX,RR60,5.8,2.38,,
FRA1,LUEX,RR60,15.5,10.6,,
FRM1,LUEX,RR60,9.7,5.86,,
GBE1,LUEX,RR60,10,1.41,,
GBM1,LUEX,RR60,10,1.41,,
LUGI,LUEX,RR60,0.8,1.47,,
LUL1,LUEX,RR60,0.8,1.47,,
